,Comment text
0,Follow Worth It on instagram! https://www.instagram.com/buzzfeedworthit/
1,"NASA+T(minus)=SATAN
Look up Jack Parsons, Wernher Von Braun, L Ron Hubbard and Jacob Frank.
7877[][][][]"
2,"BuzzFeedVideo 0.01$ grape vs. $10,000,000 grape"
3,"🔴🔴🔴 *§е×У ĝÎŗŁS* ► [ 74690.zagorali.ru ] ◄ *§е×У ĝÎŗŁS* 🔴🔴🔴
🔴🔴🔴 *§е×У ĝÎŗŁS* ► [ 74690.zagorali.ru ] ◄ *§е×У ĝÎŗŁS* 🔴🔴🔴
🔴🔴🔴 *§е×У ĝÎŗŁS* ► [ 74690.zagorali.ru ] ◄ *§е×У ĝÎŗŁS* 🔴🔴🔴"
4,"🔴🔴🔴 *ŠЭχỳ ġĪŘĽŜ* ► [ 95796.zagorali.ru ] ◄ *ŠЭχỳ ġĪŘĽŜ* 🔴🔴🔴
🔴🔴🔴 *ŠЭχỳ ġĪŘĽŜ* ► [ 95796.zagorali.ru ] ◄ *ŠЭχỳ ġĪŘĽŜ* 🔴🔴🔴
🔴🔴🔴 *ŠЭχỳ ġĪŘĽŜ* ► [ 95796.zagorali.ru ] ◄ *ŠЭχỳ ġĪŘĽŜ* 🔴🔴🔴"
5,I lovvvveeee swirl go there dailyy
6,Best toast is disguised toast. U should try it some time. It's rly expensive though. Like 200 dollars
7,What dumbasses made this trending?
8,Worth it: my kidneys.
9,There isn't a piece of toast on the planet worth $8 let alone $20.  A fool and his money are soon parted.
10,"This is not the toast im familiar to (being british), Yall americans be so extra!"
11,Do cheese steak next
12,Some of you were expecting a slice of wonder bread with some butter on it 😂.
13,You should do poutine next
14,Why would someone pay for toast
15,13:40 that place was 2 $$ not 1 $
16,Worth it : poutine !!!
17,I love the French definition of a little butter its bad for the thighs but nirvana for the soul
18,Yo did they shoot the worth it winner before the last restaurant? Because his hair go from grey to white and then grey
19,https://youtu.be/IM8rjEsVt_g
20,Now they just running out of ideas...
21,"bruh, if you paid $8 for 1 piece of toast with some jam and cheese, you got scammed"
22,The last one is more about mushrooms.
23,I put a 150 000$ car on a toast and it became a 150 000$ toast :)
24,Have they done ramen worth it?
