,Comment text
0,*_2:09_**_ 👏🏻MEME👏🏻 REVIEW_*
1,Love reacts only! HAHA!
2,so brad 1/2 is this too lame to edit ? coz I saw sive too memer :v
3,You should do who knows each other best
4,#20 trending in my country....every teenboys watching him always after school or college...
5,"*video is  ot 10 min yet* 
LOOK ANOTHER QUIZ! 😂👌🏼"
6,This is trending 39 where i live sj
7,Marzia looks like Michael Jackson as an unicorn
8,what happened between you and Marzia when the quiz was talking about red flag??? :O
9,Eka
10,Smell might treat pot eliminate external dig abroad attitude muscle
11,СУКА БЛЯТЬ
12,I swear when I was watching the video and a Durex ad came out right after they talked about kids HAHA
13,Dude she will be an uvly woman as she ages...look at her dude dont do it
14,Pink hair! Never marry a feminist
15,"Ahehe, Maya licking Marzia's leg. 😂❤"
16,I am Two days late will this world accept me ??
17,2:08 MEME REVIEW!
18,#20 on trending uwu
19,O m g i just saw a add on pewdie pies video😂
20,Pubdiepie
21,"*Pewdiepie translator version 3.99$*

13:19 I havent told you but this was our last test = the video is over 10 minutes so we can end this..."
22,"Felix about to be took to the bank! JEET.

Jk ofcourse."
23,❤️❤️❤️❤️
24,we are too happy for you and for her
25,Felicidades frei americano
26,Can i go 🌚🌚🌚❤
27,Congratulations. This is just a joke but your bride to be sounds like the singing dog from britain's got talent. No hate just thought it was funny BRO🤜🏻 lol
28,how is Marzia not feeling anything ticklish on her knees?
29,She's cute :D Nice one Pewds! xD
30,СУКА БЛЯТЬ!?!?!?!?  Ahhahahaha
31,#20 ON TRENDING - YOU'VE FINALLY DONE IT BOI
32,Oml Matthias' daughter is called Luna lol
33,Felix is a Soy Boi?!?!?!?!?
34,"the zoom in on Maya licking her leg at the end
I don't know why but it made me laugh for 5 whole minutes"
35,Doggo don giv a shit
36,"Luna is already taken by mathias... 
Sorry lol"
37,RIP HALF YOUR MONEY AND ASSETS.
38,why is this trending in Philippines?!?!! wow
39,If u ever get a boy name him Ezio cuz idk....Italian assassin :P
40,FINALLY FELIX!
41,Top 20 trending
42,what we learnd: felix is an alcoholic
43,I think this is the most real they have ever been on video. Thanks guys for showing us you're human.
44,"I wish you all the best guys from the bottom of my heart! I hope you guys will always stay this way and no matter what kind of problems and hardship comes your way I hope you two won't lose sight of what is the most important thing, which is you guys have each other and that it's not one of you who has the problem. It's the problem that is your enemy and you guys are a team. Humble wishes from Mongolia."
45,Best man: Jack or Mark?
46,If u have kid thier will shock when they see ur youtube channel had 99 mill sub
47,+++
48,720p... ok...
49,e
50,zucc
51,Congrats! I feel happy for you!
52,The conversation about poo right before the proposal .... that was when Felix realized he needed to marry her 😂😂
53,cant believe jacksfilms copied pewdiepie and got married
54,Is Markiplier invited to the wedding?
55,To whoever is scrolling through the comments and there is something going on in your life everything will be okay
56,no
57,♥♥♥
58,This is deep
59,love that they argued about how they argue
60,Congrats and good luck.
61,my childhood (‘:
62,these videos are my guilty pleasures
63,pewdiepie is being merrid but team 10 is falling apart :D xD
64,there relationship is just so *pure* that i dont think that there could EVER be a better couple! - *BEST WISHES FELIX AND MARZIA!*
65,Matthias named his daughter luna
66,СУКА БЛЯТЬ
67,no
68,marzia has such a nice accent
69,""" we were talking about poop before you propose"". Romantic asf"
70,1:24 pewds is part of the FBI
71,"Don't let the wrong ""affected"" distract you from the fact that Star Lord blew a 5 to 1 advantage against Thanos causing half of the Avengers to die after he found out Gamora was murdered."
72,Maya’s still alive?? 😍😍😍
73,They should make a montage of them from when they started playing games together or when they started making videos that will be a trip lol
74,My heart is melting from your releationship!! <3 It's so cute to see you two together
75,"Thanks gods !!!  Finally.  8 year subscribed  , this is the only one thing that i waiting for from your channel"
76,We're happy for you❤👏
77,DAAAWWWWWWWWWWWWWW
78,Сука блять
79,OMG YOU TWO ARE SO SWEET
80,Marzia's smile is adorable!
81,They are so cute together! 💕
82,One question..... W H O I S T H E B E S T M A N E E E E E
83,I want fan art of pewds as a bride with marzia
84,I am so happy for you two😀
85,Didn't even make me cry
86,No.
87,"""СУКА БЛЯДЬ"" ПОНРАВИЛАСЬ ФРАЗА ПЬЮДИ?"
88,I want stephano amd mr chair be the best men tho
89,Gosh I'm so happy for u guys. Congrats!
90,I love you so much guys!! 😍 You two are meant for each other!! 💖
91,AHHHHHH
92,Get a prenup.
93,My cousins name is LUNA.
94,congrats pewds
95,Edgar will be your best man.
96,i watched both of their videos about their engagement when they are @ 33 of trending.. watta coincidence
97,"Her since 30 mil, proud of seeing you guys grow."
