Unnamed: 0,Comment text,Class,Repeatedness,Tokens
0,hi,0,0.0,['hi']
1,hi,0,0.0,['hi']
2,he is better then apollo because apollo he just sits there and dose nothing when there is a burglary at your house,0,3.0,"['he', 'is', 'better', 'then', 'apollo', 'because', 'apollo', 'he', 'just', 'sits', 'there', 'and', 'dose', 'nothing', 'when', 'there', 'is', 'a', 'burglary', 'at', 'your', 'house']"
3,kong looks like...,0,3.0,"['kong', 'looks', 'like']"
4,a legend! love kong,0,0.0,"['a', 'legend', 'love', 'kong']"
5,hi,0,0.0,['hi']
6,i hope you get tortured :d,1,0.0,"['i', 'hope', 'you', 'get', 'tortured', 'd']"
7," you r bad at fortnite, 1v1 me",0,0.0,"['you', 'r', 'bad', 'at', 'fortnite', '1v1', 'me']"
8,"my cat is bigger then kong, haha",0,1.0,"['my', 'cat', 'is', 'bigger', 'then', 'kong', 'haha']"
9,:d,0,0.0,['d']
10,dude the fake attack!!!,0,3.0,"['dude', 'the', 'fake', 'attack']"
11,i really unexpected the haircut for kong though,0,1.0,"['i', 'really', 'unexpected', 'the', 'haircut', 'for', 'kong', 'though']"
12,no kong omfg im crying ,0,0.0,"['no', 'kong', 'omfg', 'im', 'crying']"
13,i miss maverick.,0,1.0,"['i', 'miss', 'maverick']"
14,add me on snapchat _username for awesome content,1,1.0,"['add', 'me', 'on', 'snapchat', '_username', 'for', 'awesome', 'content']"
15,rip kong s hair what the fuck what happened logan rip cuteness,0,2.0,"['rip', 'kong', 's', 'hair', 'what', 'the', 'fuck', 'what', 'happened', 'logan', 'rip', 'cuteness']"
16,where is maverick?,0,0.0,"['where', 'is', 'maverick']"
17,nooo kong,0,2.0,"['nooo', 'kong']"
18,love you logan,0,0.0,"['love', 'you', 'logan']"
19,those weren't kongs barks ...sorry,0,3.0,"['those', 'weren', 't', 'kongs', 'barks', 'sorry']"
20,he went to twicth or twitch okay something like that. d= and i don't even like fortinite..,0,1.0,"['he', 'went', 'to', 'twicth', 'or', 'twitch', 'okay', 'something', 'like', 'that', 'd', 'and', 'i', 'don', 't', 'even', 'like', 'fortinite']"
21,put ittttt back!!!!!!!!,0,11.0,"['put', 'ittttt', 'back']"
22,hes half bald hes hes a cool,0,1.0,"['hes', 'half', 'bald', 'hes', 'hes', 'a', 'cool']"
23,what did you do to kong,0,0.0,"['what', 'did', 'you', 'do', 'to', 'kong']"
24,hey logan i haven't checked your channel in a while so hiiiiii!!!!! ,0,10.0,"['hey', 'logan', 'i', 'haven', 't', 'checked', 'your', 'channel', 'in', 'a', 'while', 'so', 'hiiiiii']"
25, i missed george in the vlogs now you just need juanpa back!,0,4.0,"['i', 'missed', 'george', 'in', 'the', 'vlogs', 'now', 'you', 'just', 'need', 'juanpa', 'back']"
26,kong looks like a lion,0,1.0,"['kong', 'looks', 'like', 'a', 'lion']"
27,fucking ayla cuut his fucking dick fuck you ayla,1,1.0,"['fucking', 'ayla', 'cuut', 'his', 'fucking', 'dick', 'fuck', 'you', 'ayla']"
28,i miss the old vlogs with jorge and mark,0,1.0,"['i', 'miss', 'the', 'old', 'vlogs', 'with', 'jorge', 'and', 'mark']"
29,i miss maverick,0,1.0,"['i', 'miss', 'maverick']"
30,if you want a dog that can attack get a german shepard,0,1.0,"['if', 'you', 'want', 'a', 'dog', 'that', 'can', 'attack', 'get', 'a', 'german', 'shepard']"
31,kong looks like a lion for real,0,1.0,"['kong', 'looks', 'like', 'a', 'lion', 'for', 'real']"
32,nooooooo his fur -,0,6.0,"['nooooooo', 'his', 'fur']"
33,oh dear kong is so cute ,0,1.0,"['oh', 'dear', 'kong', 'is', 'so', 'cute']"
34,that was a mistake..,0,1.0,"['that', 'was', 'a', 'mistake']"
35,hello you can promote my channel,1,2.0,"['hello', 'you', 'can', 'promote', 'my', 'channel']"
36,"logan's og friends: george, johannes and mark",0,1.0,"['logan', 's', 'og', 'friends', 'george', 'johannes', 'and', 'mark']"
37,where is pancake?,0,0.0,"['where', 'is', 'pancake']"
38,kong looks like a lion!!! ,0,3.0,"['kong', 'looks', 'like', 'a', 'lion']"
39,i hate you ,1,0.0,"['i', 'hate', 'you']"
40,in the thumbnail it looks like dipper from gravity falls,0,3.0,"['in', 'the', 'thumbnail', 'it', 'looks', 'like', 'dipper', 'from', 'gravity', 'falls']"
41,logan you fucked up. oh hey george i missed ya!,0,1.0,"['logan', 'you', 'fucked', 'up', 'oh', 'hey', 'george', 'i', 'missed', 'ya']"
42,why in the hell would you do that to that poor dog,0,2.0,"['why', 'in', 'the', 'hell', 'would', 'you', 'do', 'that', 'to', 'that', 'poor', 'dog']"
43,i think it'll be better if george mark and johannes live with logan and put maverick on the backyard,0,3.0,"['i', 'think', 'it', 'll', 'be', 'better', 'if', 'george', 'mark', 'and', 'johannes', 'live', 'with', 'logan', 'and', 'put', 'maverick', 'on', 'the', 'backyard']"
44,i bet if kong tries to bite someone they will just kick him like a soccer ball,0,3.0,"['i', 'bet', 'if', 'kong', 'tries', 'to', 'bite', 'someone', 'they', 'will', 'just', 'kick', 'him', 'like', 'a', 'soccer', 'ball']"
45,i missed george,0,1.0,"['i', 'missed', 'george']"
46,wtf happen to him,0,1.0,"['wtf', 'happen', 'to', 'him']"
47,call jake to,0,1.0,"['call', 'jake', 'to']"
48,sub to my channel 10th sub gets iphone x and shout out,1,1.0,"['sub', 'to', 'my', 'channel', '10th', 'sub', 'gets', 'iphone', 'x', 'and', 'shout', 'out']"
49,nvm lol it looks stupid funny but its cute,0,2.0,"['nvm', 'lol', 'it', 'looks', 'stupid', 'funny', 'but', 'its', 'cute']"
50,no kongs hair d,0,0.0,"['no', 'kongs', 'hair', 'd']"
51,i miss the 2016 logan,0,1.0,"['i', 'miss', 'the', '2016', 'logan']"
52,what did i just saw,0,0.0,"['what', 'did', 'i', 'just', 'saw']"
53,l no logan songs help me help you,0,0.0,"['l', 'no', 'logan', 'songs', 'help', 'me', 'help', 'you']"
54,what?! the! fuck?! did you do to kong!!!,0,2.0,"['what', 'the', 'fuck', 'did', 'you', 'do', 'to', 'kong']"
55,kong dose not sound like that,0,0.0,"['kong', 'dose', 'not', 'sound', 'like', 'that']"
56,can he please stay i don't even remember him like honestly i don't at all,0,1.0,"['can', 'he', 'please', 'stay', 'i', 'don', 't', 'even', 'remember', 'him', 'like', 'honestly', 'i', 'don', 't', 'at', 'all']"
57,noooooooooo! kong!,0,9.0,"['noooooooooo', 'kong']"
58,and yay george!,0,0.0,"['and', 'yay', 'george']"
59,noo kong ,0,1.0,"['noo', 'kong']"
60,kong looks,0,1.0,"['kong', 'looks']"
61,lmao,0,0.0,['lmao']
62,maverick???,0,2.0,['maverick']
63,what tha hell??? is that's a rat lol kong looks just like a freaking rat,0,4.0,"['what', 'tha', 'hell', 'is', 'that', 's', 'a', 'rat', 'lol', 'kong', 'looks', 'just', 'like', 'a', 'freaking', 'rat']"
64,kong looks like a lion,0,1.0,"['kong', 'looks', 'like', 'a', 'lion']"
65,we hate you ,1,0.0,"['we', 'hate', 'you']"
66,george is hilarious,0,0.0,"['george', 'is', 'hilarious']"
67,kong looks so funny ,0,2.0,"['kong', 'looks', 'so', 'funny']"
68,those groomers were funny,0,2.0,"['those', 'groomers', 'were', 'funny']"
69,yung doggie kong da savage ,0,1.0,"['yung', 'doggie', 'kong', 'da', 'savage']"
70,i have a mini pomeranian named macy,0,0.0,"['i', 'have', 'a', 'mini', 'pomeranian', 'named', 'macy']"
71,why do people enjoy watching his videos? he fakes having a service dog. he is constantly putting animals at risk and in danger. i dont know why the new generation looks up to this douche.,1,3.0,"['why', 'do', 'people', 'enjoy', 'watching', 'his', 'videos', 'he', 'fakes', 'having', 'a', 'service', 'dog', 'he', 'is', 'constantly', 'putting', 'animals', 'at', 'risk', 'and', 'in', 'danger', 'i', 'dont', 'know', 'why', 'the', 'new', 'generation', 'looks', 'up', 'to', 'this', 'douche']"
72,i think you need to get a real attack dark and oh so i love your voice keep up the great work ,0,3.0,"['i', 'think', 'you', 'need', 'to', 'get', 'a', 'real', 'attack', 'dark', 'and', 'oh', 'so', 'i', 'love', 'your', 'voice', 'keep', 'up', 'the', 'great', 'work']"
73,piper rockelle!!!!,0,4.0,"['piper', 'rockelle']"
74,i love how kong looked when andy was carrying him,0,2.0,"['i', 'love', 'how', 'kong', 'looked', 'when', 'andy', 'was', 'carrying', 'him']"
75,hes out here with millions of subs and i cant even get to 100,0,2.0,"['hes', 'out', 'here', 'with', 'millions', 'of', 'subs', 'and', 'i', 'cant', 'even', 'get', 'to', '100']"
76,"what happened to logan,george,mark ,johannes",0,2.0,"['what', 'happened', 'to', 'logan', 'george', 'mark', 'johannes']"
77,kong looks cute with or without hiar,0,1.0,"['kong', 'looks', 'cute', 'with', 'or', 'without', 'hiar']"
78,logan you stoped posting,0,0.0,"['logan', 'you', 'stoped', 'posting']"
79,annnnddddyyyyy,0,10.0,['annnnddddyyyyy']
80,i feel sorry for the groomer,0,3.0,"['i', 'feel', 'sorry', 'for', 'the', 'groomer']"
81,so fake,0,0.0,"['so', 'fake']"
82,"logan is hot, freaking a work of art",0,0.0,"['logan', 'is', 'hot', 'freaking', 'a', 'work', 'of', 'art']"
83,can you floss,0,1.0,"['can', 'you', 'floss']"
84,kong da savage of the. .. savage,0,1.0,"['kong', 'da', 'savage', 'of', 'the', 'savage']"
85,you are stupid,1,0.0,"['you', 'are', 'stupid']"
86,jake paul is better,0,1.0,"['jake', 'paul', 'is', 'better']"
87,kong is so cute,0,0.0,"['kong', 'is', 'so', 'cute']"
88,it is so planned,0,1.0,"['it', 'is', 'so', 'planned']"
89,kong is now a lion doggy,0,1.0,"['kong', 'is', 'now', 'a', 'lion', 'doggy']"
90,i can't wait anymore,0,0.0,"['i', 'can', 't', 'wait', 'anymore']"
91,"what happen to the videos, it's been 10 days!!!",0,4.0,"['what', 'happen', 'to', 'the', 'videos', 'it', 's', 'been', '10', 'days']"
92,good video,0,1.0,"['good', 'video']"
93,debating if i should unsubscribe........ill wait another week.....i prefer his vlog than his twitch fortnite....,0,16.0,"['debating', 'if', 'i', 'should', 'unsubscribe', 'ill', 'wait', 'another', 'week', 'i', 'prefer', 'his', 'vlog', 'than', 'his', 'twitch', 'fortnite']"
94,kong actually looks like a lion when some of his hair is off,0,3.0,"['kong', 'actually', 'looks', 'like', 'a', 'lion', 'when', 'some', 'of', 'his', 'hair', 'is', 'off']"
95,i miss you where are you,0,1.0,"['i', 'miss', 'you', 'where', 'are', 'you']"
96,logan wears the vlogs,0,0.0,"['logan', 'wears', 'the', 'vlogs']"
97,it's new attack dog with food in a flower pot 4 million views in 1 week has been before (no one cares) but yea i might actually start vlogging,0,7.0,"['it', 's', 'new', 'attack', 'dog', 'with', 'food', 'in', 'a', 'flower', 'pot', '4', 'million', 'views', 'in', '1', 'week', 'has', 'been', 'before', 'no', 'one', 'cares', 'but', 'yea', 'i', 'might', 'actually', 'start', 'vlogging']"
98,what did they do to kong,0,0.0,"['what', 'did', 'they', 'do', 'to', 'kong']"
99,"did anyone notice that logan deleted the ""is chlogan real"" vlog??????????",0,9.0,"['did', 'anyone', 'notice', 'that', 'logan', 'deleted', 'the', 'is', 'chlogan', 'real', 'vlog']"
100,why are you not posting vlogs,0,0.0,"['why', 'are', 'you', 'not', 'posting', 'vlogs']"
101,logan is not posting because of the fight against ksi so good luck on the fight wish you luck and i love you your my favorite youtuber ever and your the best. from- andrea,0,1.0,"['logan', 'is', 'not', 'posting', 'because', 'of', 'the', 'fight', 'against', 'ksi', 'so', 'good', 'luck', 'on', 'the', 'fight', 'wish', 'you', 'luck', 'and', 'i', 'love', 'you', 'your', 'my', 'favorite', 'youtuber', 'ever', 'and', 'your', 'the', 'best', 'from', 'andrea']"
102,why won't you upload anymore logan,0,0.0,"['why', 'won', 't', 'you', 'upload', 'anymore', 'logan']"
103,at least jake vlog everyday for his fans but you just left us like this..you make the logang down ,0,1.0,"['at', 'least', 'jake', 'vlog', 'everyday', 'for', 'his', 'fans', 'but', 'you', 'just', 'left', 'us', 'like', 'this', 'you', 'make', 'the', 'logang', 'down']"
104,he probably is taking the time off so that kongs can grow his hair,0,1.0,"['he', 'probably', 'is', 'taking', 'the', 'time', 'off', 'so', 'that', 'kongs', 'can', 'grow', 'his', 'hair']"
105,where are you logan!? like if your worried and you want logan back and he might look at this comment and start making videos again,0,4.0,"['where', 'are', 'you', 'logan', 'like', 'if', 'your', 'worried', 'and', 'you', 'want', 'logan', 'back', 'and', 'he', 'might', 'look', 'at', 'this', 'comment', 'and', 'start', 'making', 'videos', 'again']"
106, logan come back!!! ,0,8.0,"['logan', 'come', 'back']"
107,he's coming back today,0,0.0,"['he', 's', 'coming', 'back', 'today']"
108,why did you stop posting videos,0,0.0,"['why', 'did', 'you', 'stop', 'posting', 'videos']"
109,he's busy training for the fight,0,0.0,"['he', 's', 'busy', 'training', 'for', 'the', 'fight']"
110,nice dog,0,0.0,"['nice', 'dog']"
111,"guys stop asking him he is famous and famous doesn't answer youtube comments ,that is usless ,they don't answer youtube comment when they become so famous ,and they see normal people like us around like usless",0,5.0,"['guys', 'stop', 'asking', 'him', 'he', 'is', 'famous', 'and', 'famous', 'doesn', 't', 'answer', 'youtube', 'comments', 'that', 'is', 'usless', 'they', 'don', 't', 'answer', 'youtube', 'comment', 'when', 'they', 'become', 'so', 'famous', 'and', 'they', 'see', 'normal', 'people', 'like', 'us', 'around', 'like', 'usless']"
112,how to trick an idiot read more,0,0.0,"['how', 'to', 'trick', 'an', 'idiot', 'read', 'more']"
113,why haven't you posted for a week,0,1.0,"['why', 'haven', 't', 'you', 'posted', 'for', 'a', 'week']"
114,why haven't you been posting?!?,0,1.0,"['why', 'haven', 't', 'you', 'been', 'posting']"
115,he's busy training for the fight,0,0.0,"['he', 's', 'busy', 'training', 'for', 'the', 'fight']"
116,"well fuck twitch and fortnite thst shit ,there is 16 million people waiting for you ,stupid every minute of fortnite is stealing your life away",0,2.0,"['well', 'fuck', 'twitch', 'and', 'fortnite', 'thst', 'shit', 'there', 'is', '16', 'million', 'people', 'waiting', 'for', 'you', 'stupid', 'every', 'minute', 'of', 'fortnite', 'is', 'stealing', 'your', 'life', 'away']"
117,logang for life are you sure or it's twitch the cause,0,0.0,"['logang', 'for', 'life', 'are', 'you', 'sure', 'or', 'it', 's', 'twitch', 'the', 'cause']"
118,he needs to train for the fight,0,1.0,"['he', 'needs', 'to', 'train', 'for', 'the', 'fight']"
119,but training for ksi doesn't mean he stoped vloging,0,0.0,"['but', 'training', 'for', 'ksi', 'doesn', 't', 'mean', 'he', 'stoped', 'vloging']"
120,"he is a fake lover ,maybe he is training for ksi",0,0.0,"['he', 'is', 'a', 'fake', 'lover', 'maybe', 'he', 'is', 'training', 'for', 'ksi']"
121,fortnite isn't more important than uss,0,1.0,"['fortnite', 'isn', 't', 'more', 'important', 'than', 'uss']"
122,wtf logan wtf why you are not uploading,0,0.0,"['wtf', 'logan', 'wtf', 'why', 'you', 'are', 'not', 'uploading']"
123,cant wait til his youtube account goes down,0,1.0,"['cant', 'wait', 'til', 'his', 'youtube', 'account', 'goes', 'down']"
124,fortnite took over logan this sucks!,0,1.0,"['fortnite', 'took', 'over', 'logan', 'this', 'sucks']"
125,he's busy training for the fight,0,0.0,"['he', 's', 'busy', 'training', 'for', 'the', 'fight']"
126,yo logan why you did this nothing is bigger than bringing smile on millions of people nor the fortnite game neither the money. people ask you what you earn from youtube you earn love bro from millions of people,0,3.0,"['yo', 'logan', 'why', 'you', 'did', 'this', 'nothing', 'is', 'bigger', 'than', 'bringing', 'smile', 'on', 'millions', 'of', 'people', 'nor', 'the', 'fortnite', 'game', 'neither', 'the', 'money', 'people', 'ask', 'you', 'what', 'you', 'earn', 'from', 'youtube', 'you', 'earn', 'love', 'bro', 'from', 'millions', 'of', 'people']"
127,1 week no video oh my god logan twitch is more important than youtube,0,1.0,"['1', 'week', 'no', 'video', 'oh', 'my', 'god', 'logan', 'twitch', 'is', 'more', 'important', 'than', 'youtube']"
